0,1, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
6:00,11.6,Despejado,0,45%,10%,SE,4.3,9.1,10,,,,,,,,,,
7:00,11.3,Cielo cubierto,0,47%,99%,SSE,4.3,9.1,10,,,,,,,,,,
8:00,11.9,Parcialmente nublado,0,46%,62%,SE,6.5,13.6,10,,,,,,,,,,
9:00,13.7,Cielo cubierto,0,42%,90%,SE,9.4,16.9,10,,,,,,,,,,
10:00,16.2,Soleado,0,36%,6%,SSE,9.4,12.2,10,,,,,,,,,,
11:00,18,Soleado,0,32%,1%,SSE,9.7,11.4,10,,,,,,,,,,
12:00,19.3,Soleado,0,28%,7%,SSE,10.1,11.6,10,,,,,,,,,,
13:00,20.2,Soleado,0,26%,4%,S,9.7,11.2,10,,,,,,,,,,
14:00,20.8,Parcialmente nublado,0,24%,32%,S,9.7,11.2,10,,,,,,,,,,
15:00,20.9,Soleado,0,22%,10%,SSW,7.2,8.5,10,,,,,,,,,,
16:00,20.9,Soleado,0,22%,4%,WSW,6.5,8.2,10,,,,,,,,,,
17:00,19.4,Despejado,0,31%,9%,WNW,23.8,33.3,10,,,,,,,,,,
18:00,15.4,Lluvia moderada a intervalos,"0,0",50%,70%,W,37.4,56,10,,,,,,,,,,
19:00,14.9,Parcialmente nublado,0,47%,44%,WSW,22,33,10,,,,,,,,,,
20:00,14.8,Despejado,0,45%,8%,WSW,18.4,27.8,10,,,,,,,,,,
21:00,13.4,Despejado,0,50%,3%,W,14,24.7,10,,,,,,,,,,
22:00,12.4,Despejado,0,52%,0%,WNW,12.6,24,10,,,,,,,,,,
23:00,12.3,Despejado,0,54%,0%,W,13.3,24.6,10,,,,,,,,,,
4, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,,
0:00,12,Despejado,0,60%,3%,WNW,15.5,30.5,10,,,,,,,,,,
1:00,11.9,Despejado,0,60%,2%,W,15.5,30.8,10,,,,,,,,,,
2:00,11.9,Despejado,0,59%,2%,WSW,16.9,34.2,10,,,,,,,,,,
3:00,11.8,Despejado,0,58%,0%,W,14.4,30.2,10,,,,,,,,,,
4:00,11.2,Despejado,0,61%,0%,W,11.9,24.9,10,,,,,,,,,,
5:00,10.3,Despejado,0,65%,0%,WNW,9.4,19.7,10,,,,,,,,,,
6:00,9.7,Despejado,0,68%,0%,WNW,8.6,18.1,10,,,,,,,,,,
7:00,9,Soleado,0,70%,0%,NW,8.3,17.4,10,,,,,,,,,,
8:00,8.9,Soleado,0,70%,0%,NW,7.6,15.9,10,,,,,,,,,,
9:00,11.4,Soleado,0,59%,0%,NW,5,8.4,10,,,,,,,,,,
10:00,14.1,Soleado,0,50%,0%,WNW,5,6.4,10,,,,,,,,,,
11:00,16,Soleado,0,42%,0%,W,6.1,7.2,10,,,,,,,,,,
12:00,17.5,Soleado,0,34%,0%,WNW,7.6,8.7,10,,,,,,,,,,
13:00,18.7,Soleado,0,27%,0%,NW,8.6,9.9,10,,,,,,,,,,
14:00,19.5,Soleado,0,22%,9%,NW,10.1,11.6,10,,,,,,,,,,
15:00,19.8,Soleado,0,19%,20%,NW,9.7,11.2,10,,,,,,,,,,
16:00,19.8,Soleado,0,18%,12%,NW,9,11.1,10,,,,,,,,,,
17:00,18.8,Despejado,0,20%,9%,NNW,6.8,10.3,10,,,,,,,,,,
18:00,15.3,Despejado,0,24%,5%,N,5.4,11.3,10,,,,,,,,,,
19:00,14.2,Despejado,0,26%,0%,NE,5.4,11.3,10,,,,,,,,,,
20:00,13.4,Despejado,0,28%,0%,ENE,6.8,14.4,10,,,,,,,,,,
21:00,12.7,Despejado,0,31%,0%,E,7.6,15.9,10,,,,,,,,,,
22:00,12,Despejado,0,34%,0%,ESE,5,10.6,10,,,,,,,,,,
23:00,11.8,Despejado,0,35%,0%,SSE,4,8.3,10,,,,,,,,,,
5, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,,
0:00,12.2,Despejado,0,32%,0%,SSW,5,10.6,10,,,,,,,,,,
1:00,11.8,Despejado,0,32%,0%,SSW,5.4,11.3,10,,,,,,,,,,
2:00,11.6,Despejado,0,33%,0%,SSW,4,8.3,10,,,,,,,,,,
3:00,11.3,Despejado,0,34%,0%,SE,2.9,6,10,,,,,,,,,,
4:00,10.9,Despejado,0,36%,0%,SSE,3.2,6.8,10,,,,,,,,,,
5:00,10.5,Despejado,0,37%,0%,SSE,2.5,5.3,10,,,,,,,,,,
6:00,10.2,Despejado,0,39%,2%,ESE,2.2,4.5,10,,,,,,,,,,
7:00,10.1,Soleado,0,39%,5%,SE,5,10.6,10,,,,,,,,,,
8:00,10.3,Soleado,0,40%,5%,SE,6.1,12.9,10,,,,,,,,,,
9:00,12.6,Soleado,0,36%,6%,ESE,4,7.2,10,,,,,,,,,,
10:00,15.1,Soleado,0,31%,5%,SE,3.2,4.2,10,,,,,,,,,,
11:00,16.8,Soleado,0,28%,6%,SE,5.8,7.1,10,,,,,,,,,,
12:00,18.5,Soleado,0,25%,0%,SSE,9.4,10.8,10,,,,,,,,,,
13:00,19.4,Parcialmente nublado,0,22%,61%,SSE,8.3,9.5,10,,,,,,,,,,
14:00,19.9,Cielo cubierto,0,20%,100%,SE,4.3,5.1,10,,,,,,,,,,
15:00,20,Soleado,0,20%,6%,ENE,0.7,0.9,10,,,,,,,,,,
16:00,20,Soleado,0,20%,7%,NNW,3.6,4.6,10,,,,,,,,,,
17:00,18.7,Despejado,0,23%,7%,N,7.6,11.6,10,,,,,,,,,,
18:00,15.7,Despejado,0,30%,4%,N,9.4,18.5,10,,,,,,,,,,
19:00,13.8,Despejado,0,36%,17%,NNW,10.4,21.7,10,,,,,,,,,,
20:00,12.8,Despejado,0,39%,0%,NNW,9.4,19.7,10,,,,,,,,,,
21:00,12.3,Despejado,0,40%,2%,NW,7.9,16.6,10,,,,,,,,,,
22:00,11.9,Despejado,0,41%,2%,NW,7.9,16.6,10,,,,,,,,,,
23:00,11.5,Despejado,0,41%,0%,NW,6.1,12.9,10,,,,,,,,,,
6, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,,
0:00,12,Despejado,0,31%,0%,NNW,4.3,9.1,10,,,,,,,,,,
1:00,11.6,Despejado,0,32%,0%,WNW,3.6,7.6,10,,,,,,,,,,
2:00,11.6,Despejado,0,32%,0%,W,5.4,11.3,10,,,,,,,,,,
3:00,11.2,Despejado,0,32%,0%,NNW,3.6,7.6,10,,,,,,,,,,
4:00,10.8,Despejado,0,33%,0%,NNE,4.3,9.1,10,,,,,,,,,,
5:00,10.2,Despejado,0,34%,0%,NE,3.6,7.6,10,,,,,,,,,,
6:00,9.9,Despejado,0,34%,0%,ENE,1.4,3,10,,,,,,,,,,
7:00,9.7,Soleado,0,34%,0%,SW,1.8,3.8,10,,,,,,,,,,
8:00,10.3,Soleado,0,32%,0%,S,6.1,12.9,10,,,,,,,,,,
9:00,13,Soleado,0,28%,0%,SSE,6.8,13.5,10,,,,,,,,,,
10:00,16,Soleado,0,21%,0%,SSE,7.2,9.6,10,,,,,,,,,,
11:00,17.8,Soleado,0,18%,0%,SSE,10.8,12.5,10,,,,,,,,,,
12:00,18.8,Soleado,0,16%,0%,SSE,10.8,12.4,10,,,,,,,,,,
13:00,19.5,Soleado,0,15%,0%,SE,11.2,12.9,10,,,,,,,,,,
14:00,19.9,Soleado,0,14%,0%,SE,12.6,14.5,10,,,,,,,,,,
15:00,20.1,Soleado,0,13%,3%,SE,14,16.2,10,,,,,,,,,,
16:00,19.9,Soleado,0,13%,2%,SSE,13.7,16.9,10,,,,,,,,,,
17:00,18.8,Despejado,0,15%,4%,SSE,13,19.5,10,,,,,,,,,,
18:00,15.8,Despejado,0,18%,6%,S,13.7,28.7,10,,,,,,,,,,
19:00,14.7,Despejado,0,20%,3%,S,12.2,25.7,10,,,,,,,,,,
20:00,14.3,Despejado,0,23%,4%,SW,10.8,22.7,10,,,,,,,,,,
21:00,14.3,Despejado,0,26%,5%,WSW,13,26.8,10,,,,,,,,,,
22:00,13.9,Despejado,0,27%,8%,WSW,14,29.2,10,,,,,,,,,,
23:00,13.7,Despejado,0,27%,19%,WSW,14,29.4,10,,,,,,,,,,
7, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,,
0:00,12.8,Parcialmente nublado,0,30%,49%,WSW,10.1,21.2,10,,,,,,,,,,
1:00,12.9,Parcialmente nublado,0,37%,31%,WSW,15.8,31.6,10,,,,,,,,,,
2:00,12.9,Despejado,0,44%,7%,WSW,19.4,37.1,10,,,,,,,,,,
3:00,12.6,Despejado,0,48%,0%,SW,15.8,30.5,10,,,,,,,,,,
4:00,12.2,Despejado,0,50%,9%,SW,16.6,32.3,10,,,,,,,,,,
5:00,12,Parcialmente nublado,0,51%,60%,SSW,15.8,31.1,10,,,,,,,,,,
6:00,12.6,Llovizna,"0,2",49%,100%,SSW,18.4,32.8,2,,,,,,,,,,
7:00,13.1,Lluvia moderada a intervalos,"0,1",56%,100%,WSW,20.5,34.2,10,,,,,,,,,,
8:00,13.4,Soleado,0,52%,7%,W,32.8,49.4,10,,,,,,,,,,
9:00,13.2,Soleado,0,49%,8%,W,35.6,50.5,10,,,,,,,,,,
10:00,14.4,Soleado,0,42%,22%,W,33.1,39.8,10,,,,,,,,,,
11:00,15.5,Soleado,0,36%,23%,W,31.7,36.8,10,,,,,,,,,,
12:00,15.9,Parcialmente nublado,0,32%,27%,NW,29.2,33.6,10,,,,,,,,,,
13:00,15.6,Parcialmente nublado,0,33%,25%,NW,24.8,28.6,10,,,,,,,,,,
14:00,16.5,Parcialmente nublado,0,27%,46%,NW,25.2,29,10,,,,,,,,,,
15:00,16.5,Nublado,0,24%,82%,NW,24.5,28.2,10,,,,,,,,,,
16:00,16.2,Parcialmente nublado,0,20%,43%,NNW,25.2,31.1,10,,,,,,,,,,
17:00,15.7,Parcialmente nublado,0,21%,51%,NNW,26.6,36,10,,,,,,,,,,
18:00,14.2,Parcialmente nublado,0,18%,45%,NNW,27.7,43.7,10,,,,,,,,,,
19:00,13.3,Despejado,0,15%,20%,NNW,29.2,47.6,10,,,,,,,,,,
20:00,12.9,Despejado,0,14%,6%,NNW,27.7,47.2,10,,,,,,,,,,
21:00,12.4,Despejado,0,15%,0%,NNW,26.6,46.7,10,,,,,,,,,,
22:00,11.9,Despejado,0,17%,3%,NNW,26.3,46,10,,,,,,,,,,
23:00,11.4,Despejado,0,19%,0%,NNW,23.8,42.3,10,,,,,,,,,,
8, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,,
0:00,8.4,Despejado,0,31%,0%,WNW,9.7,20.4,10,,,,,,,,,,
1:00,8,Despejado,0,32%,0%,NW,8.6,18.1,10,,,,,,,,,,
2:00,7.6,Despejado,0,31%,0%,NNW,7.2,15.1,10,,,,,,,,,,
3:00,7.3,Despejado,0,31%,0%,NW,8.3,17.4,10,,,,,,,,,,
4:00,7.1,Despejado,0,31%,0%,NW,10.1,21.2,10,,,,,,,,,,
5:00,7,Despejado,0,31%,0%,NW,11.2,23.4,10,,,,,,,,,,
6:00,6.9,Despejado,0,30%,0%,NW,12.2,25.7,10,,,,,,,,,,
7:00,6.5,Soleado,0,30%,0%,NW,9.7,20.4,10,,,,,,,,,,
8:00,6.7,Soleado,0,29%,0%,NW,9,18.9,10,,,,,,,,,,
9:00,9.4,Soleado,0,24%,0%,NW,8.6,15.2,10,,,,,,,,,,
10:00,12.4,Soleado,0,19%,0%,NNW,12.6,16.1,10,,,,,,,,,,
11:00,14.5,Soleado,0,14%,0%,NNW,18.4,21.1,10,,,,,,,,,,
12:00,15.6,Soleado,0,12%,0%,NNW,19.1,22,10,,,,,,,,,,
13:00,16.3,Soleado,0,11%,0%,NNW,18,20.7,10,,,,,,,,,,
14:00,16.7,Soleado,0,10%,0%,NNW,16.9,19.5,10,,,,,,,,,,
15:00,16.8,Soleado,0,10%,4%,NNW,16.6,19,10,,,,,,,,,,
16:00,16.6,Soleado,0,10%,13%,NNW,16.2,19.5,10,,,,,,,,,,
17:00,15.8,Parcialmente nublado,0,11%,32%,NNW,13.7,19.5,10,,,,,,,,,,
18:00,12.6,Despejado,0,14%,0%,NNW,10.4,21.9,10,,,,,,,,,,
19:00,11.2,Despejado,0,16%,0%,NNW,7.9,16.6,10,,,,,,,,,,
20:00,10.4,Despejado,0,18%,0%,NNW,5.8,12.1,10,,,,,,,,,,
21:00,9.8,Despejado,0,19%,0%,NNW,3.6,7.6,10,,,,,,,,,,
22:00,9.3,Despejado,0,19%,0%,NNE,3.2,6.8,10,,,,,,,,,,
23:00,8.9,Despejado,0,21%,0%,ENE,2.9,6,10,,,,,,,,,,
9, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,,
0:00,8.5,Despejado,0,20%,0%,SW,2.5,5.3,10,,,,,,,,,,
1:00,8.4,Despejado,0,20%,0%,SSE,3.6,7.6,10,,,,,,,,,,
2:00,8.3,Despejado,0,20%,0%,SE,5,10.6,10,,,,,,,,,,
3:00,8.1,Despejado,0,21%,0%,ESE,5.4,11.3,10,,,,,,,,,,
4:00,7.8,Despejado,0,21%,0%,SE,4.3,9.1,10,,,,,,,,,,
5:00,7.7,Despejado,0,21%,0%,SE,4.3,9.1,10,,,,,,,,,,
6:00,7.6,Despejado,0,21%,0%,ESE,4.7,9.8,10,,,,,,,,,,
7:00,7.3,Soleado,0,22%,0%,ESE,4.3,9.1,10,,,,,,,,,,
8:00,7.4,Soleado,0,22%,0%,ESE,3.6,7.6,10,,,,,,,,,,
9:00,10.1,Soleado,0,19%,0%,ESE,3.6,6.4,10,,,,,,,,,,
10:00,12.6,Soleado,0,15%,0%,SE,5.8,7.5,10,,,,,,,,,,
11:00,14.2,Soleado,0,14%,0%,SE,6.5,7.9,10,,,,,,,,,,
12:00,15.4,Soleado,0,12%,0%,SE,6.8,8,10,,,,,,,,,,
13:00,16.2,Soleado,0,12%,0%,SE,6.5,7.6,10,,,,,,,,,,
14:00,16.8,Soleado,0,11%,0%,SE,5,6,10,,,,,,,,,,
15:00,17.2,Soleado,0,11%,0%,E,4.3,5.2,10,,,,,,,,,,
16:00,17.3,Soleado,0,11%,0%,ESE,6.5,8,10,,,,,,,,,,
17:00,16.4,Despejado,0,13%,0%,ESE,8.6,12.2,10,,,,,,,,,,
18:00,12.9,Despejado,0,16%,0%,ESE,9.7,20.4,10,,,,,,,,,,
19:00,11.7,Despejado,0,18%,0%,ESE,8.6,18.1,10,,,,,,,,,,
20:00,11.2,Despejado,0,19%,6%,ESE,7.9,16.6,10,,,,,,,,,,
21:00,10.9,Despejado,0,19%,1%,SE,7.6,15.9,10,,,,,,,,,,
22:00,10.6,Despejado,0,20%,5%,SSE,7.6,15.9,10,,,,,,,,,,
23:00,10.2,Despejado,0,20%,13%,SSE,6.8,14.4,10,,,,,,,,,,
1,0, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
0:00,9.3,Despejado,0,21%,3%,SSE,5.8,12.1,10,,,,,,,,,,
1:00,8.7,Despejado,0,22%,3%,ESE,2.5,5.3,10,,,,,,,,,,
2:00,8.3,Despejado,0,22%,0%,ENE,2.9,6,10,,,,,,,,,,
3:00,8.1,Despejado,0,22%,0%,SE,4.3,9.1,10,,,,,,,,,,
4:00,7.8,Despejado,0,23%,0%,ESE,2.9,6,10,,,,,,,,,,
5:00,7.5,Despejado,0,24%,0%,E,3.2,6.8,10,,,,,,,,,,
6:00,7.4,Despejado,0,24%,0%,SE,4.3,9.1,10,,,,,,,,,,
7:00,7.2,Soleado,0,24%,0%,SE,4.3,9.1,10,,,,,,,,,,
8:00,7.4,Soleado,0,25%,0%,SE,5.8,12.1,10,,,,,,,,,,
9:00,10,Soleado,0,22%,0%,SE,7.6,13.6,10,,,,,,,,,,
10:00,12.8,Soleado,0,18%,0%,SE,7.2,9.2,10,,,,,,,,,,
11:00,14.5,Soleado,0,16%,0%,SE,6.8,8.2,10,,,,,,,,,,
12:00,16,Soleado,0,15%,0%,SE,9.7,11.2,10,,,,,,,,,,
13:00,17.1,Soleado,0,15%,0%,SSE,10.1,11.6,10,,,,,,,,,,
14:00,17.9,Soleado,0,15%,0%,SSE,8.6,9.9,10,,,,,,,,,,
15:00,18.4,Soleado,0,15%,0%,SSE,7.9,9.1,10,,,,,,,,,,
16:00,18.6,Soleado,0,16%,0%,S,9.4,11.6,10,,,,,,,,,,
17:00,17.9,Despejado,0,18%,0%,S,8.3,12.2,10,,,,,,,,,,
18:00,14.7,Despejado,0,24%,0%,S,8.3,17.4,10,,,,,,,,,,
19:00,13.5,Despejado,0,33%,0%,SSW,7.2,15.1,10,,,,,,,,,,
20:00,12.7,Despejado,0,42%,0%,SW,5,10.6,10,,,,,,,,,,
21:00,12.1,Despejado,0,50%,0%,W,5.8,12.1,10,,,,,,,,,,
22:00,12.7,Despejado,0,51%,0%,WSW,16.6,34,10,,,,,,,,,,
23:00,13.2,Despejado,0,49%,0%,WSW,24.5,46.4,10,,,,,,,,,,
1,1, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
0:00,12.8,Despejado,0,50%,0%,WSW,20.5,39.1,10,,,,,,,,,,
1:00,12.5,Despejado,0,52%,0%,W,23.8,45.3,10,,,,,,,,,,
2:00,12.7,Despejado,0,53%,0%,W,25.9,48.3,10,,,,,,,,,,
3:00,12.3,Despejado,0,55%,0%,WSW,23.4,45.7,10,,,,,,,,,,
4:00,12.3,Despejado,0,57%,0%,WSW,26.3,50.7,10,,,,,,,,,,
5:00,12.5,Despejado,0,59%,0%,WSW,31,57.6,10,,,,,,,,,,
6:00,12.6,Despejado,0,59%,0%,W,33.1,60,10,,,,,,,,,,
7:00,12.4,Soleado,0,60%,0%,W,29.5,54.6,10,,,,,,,,,,
8:00,12.2,Soleado,0,61%,0%,W,24.1,44.2,10,,,,,,,,,,
9:00,13.5,Soleado,0,56%,0%,WNW,21.6,32.6,10,,,,,,,,,,
10:00,15.3,Soleado,0,48%,10%,NW,22.7,27.8,10,,,,,,,,,,
11:00,16.6,Parcialmente nublado,0,42%,42%,NW,27.4,31.5,10,,,,,,,,,,
12:00,16.3,Lluvia moderada a intervalos,"0,0",40%,89%,NNW,26.6,30.6,10,,,,,,,,,,
13:00,14.5,Lluvia moderada a intervalos,"0,0",32%,58%,N,30.6,39.4,10,,,,,,,,,,
14:00,15.7,Lluvia moderada a intervalos,"0,0",20%,82%,NNW,26.3,32.5,10,,,,,,,,,,
15:00,15.8,Soleado,0,16%,13%,NNW,28.1,36.7,10,,,,,,,,,,
16:00,16,Soleado,0,14%,0%,N,30.6,37.9,10,,,,,,,,,,
17:00,15.3,Despejado,0,14%,0%,N,24.8,34.2,10,,,,,,,,,,
18:00,12.4,Despejado,0,17%,0%,NNW,16.6,32.3,10,,,,,,,,,,
19:00,10.5,Despejado,0,21%,0%,NNW,12.6,26.5,10,,,,,,,,,,
20:00,9.7,Despejado,0,23%,14%,NNW,10.8,22.7,10,,,,,,,,,,
21:00,9.2,Despejado,0,24%,6%,NW,8.3,17.4,10,,,,,,,,,,
22:00,8.9,Despejado,0,25%,15%,NW,7.6,15.9,10,,,,,,,,,,
23:00,8.5,Cielo cubierto,0,25%,97%,NW,4,8.3,10,,,,,,,,,,
1,2, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
0:00,8.7,Nublado,0,18%,80%,W,3.6,7.6,10,,,,,,,,,,
1:00,9.1,Despejado,0,18%,20%,SW,2.5,5.3,10,,,,,,,,,,
2:00,8.7,Despejado,0,18%,21%,SSE,2.9,6,10,,,,,,,,,,
3:00,8,Despejado,0,19%,19%,SE,3.2,6.8,10,,,,,,,,,,
4:00,8.2,Despejado,0,18%,2%,SSE,5.4,11.3,10,,,,,,,,,,
5:00,7.5,Despejado,0,19%,0%,SE,3.2,6.8,10,,,,,,,,,,
6:00,7.1,Despejado,0,20%,0%,ENE,5,10.6,10,,,,,,,,,,
7:00,6.7,Soleado,0,20%,0%,E,5.4,11.3,10,,,,,,,,,,
8:00,6.8,Soleado,0,21%,3%,ENE,4,8.3,10,,,,,,,,,,
9:00,9.8,Soleado,0,18%,0%,E,3.2,5.9,10,,,,,,,,,,
10:00,12.4,Soleado,0,15%,1%,E,2.9,3.8,10,,,,,,,,,,
11:00,14,Soleado,0,13%,0%,ESE,2.9,3.5,10,,,,,,,,,,
12:00,15.3,Soleado,0,12%,2%,E,2.9,3.4,10,,,,,,,,,,
13:00,16.2,Soleado,0,11%,2%,ESE,2.5,2.9,10,,,,,,,,,,
14:00,16.8,Soleado,0,10%,4%,ESE,0.4,0.4,10,,,,,,,,,,
15:00,17.1,Soleado,0,10%,4%,E,2.5,3,10,,,,,,,,,,
16:00,17.2,Soleado,0,10%,4%,E,1.1,1.4,10,,,,,,,,,,
17:00,16.4,Despejado,0,11%,5%,SE,3.2,4.7,10,,,,,,,,,,
18:00,12.8,Despejado,0,14%,4%,ESE,1.8,3.8,10,,,,,,,,,,
19:00,11.3,Despejado,0,16%,4%,ENE,4.3,9.1,10,,,,,,,,,,
20:00,10.3,Despejado,0,18%,4%,ENE,3.2,6.8,10,,,,,,,,,,
21:00,9.9,Despejado,0,18%,4%,NNE,2.5,5.3,10,,,,,,,,,,
22:00,9.4,Despejado,0,19%,9%,NE,1.8,3.8,10,,,,,,,,,,
23:00,9.5,Despejado,0,18%,5%,SSW,4,8.3,10,,,,,,,,,,
1,3, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
0:00,9.4,Despejado,0,19%,14%,E,5,10.6,10,,,,,,,,,,
1:00,9,Despejado,0,19%,3%,SE,3.6,7.6,10,,,,,,,,,,
2:00,8.8,Despejado,0,19%,3%,ESE,4.7,9.8,10,,,,,,,,,,
3:00,8.7,Despejado,0,19%,17%,E,6.5,13.6,10,,,,,,,,,,
4:00,8.3,Despejado,0,20%,19%,E,4.3,9.1,10,,,,,,,,,,
5:00,8,Despejado,0,20%,12%,E,3.2,6.8,10,,,,,,,,,,
6:00,7.7,Despejado,0,21%,2%,ENE,2.5,5.3,10,,,,,,,,,,
7:00,7.4,Soleado,0,21%,0%,NNE,3.2,6.8,10,,,,,,,,,,
8:00,7.6,Soleado,0,22%,0%,NNE,0.7,1.5,10,,,,,,,,,,
9:00,10.5,Soleado,0,19%,0%,SE,1.8,3.1,10,,,,,,,,,,
10:00,12.9,Soleado,0,15%,0%,SSE,3.2,4.3,10,,,,,,,,,,
11:00,14.7,Soleado,0,14%,0%,E,2.5,3.1,10,,,,,,,,,,
